ime,prezime,jmbg,email,telefon,adresa,grad,ptt
Ana,Petrovic,1234567890123,ana.petrovic@example.com,0612345678,Ulica 1,Beograd,11000
Marko,Jovanovic,9876543210987,marko.jovanovic@example.com,0649876543,Ulica 2,Novi Sad,21000
Milica,Ilic,4567890123456,milica.ilic@example.com,0634567890,Ulica 3,Nis,18000
Stefan,Nikolic,8901234567890,stefan.nikolic@example.com,0628901234,Ulica 4,Kragujevac,34000
Jovana,Petrovic,2345678901234,jovana.petrovic@example.com,0652345678,Ulica 5,Subotica,24000
Ana,Petrovic,1234567890123,ana.petrovic@example.com,0612345678,Ulica 1,Beograd,11000
Marko,Jovanovic,9876543210987,marko.jovanovic@example.com,0649876543,Ulica 2,Novi Sad,21000
Milica,Ilic,4567890123456,milica.ilic@example.com,0634567890,Ulica 3,Nis,18000
Stefan,Nikolic,8901234567890,stefan.nikolic@example.com,0628901234,Ulica 4,Kragujevac,34000
Jovana,Petrovic,2345678901234,jovana.petrovic@example.com,0652345678,Ulica 5,Subotica,24000
